
1,"question1: What is the value of the mathematical constant Pi, up to two decimal places?",3.14,2.18,3.56,4.13
1,question2: Who discovered gravity?,Newton,Einstein,Galileo,Tesla
2,question3: In which year was the first iPhone released?,2005,2007,2009,2011
2,question4: What is the name of the largest moon of Saturn?,Europa,Titan,Ganymede,Callisto
1,question5: Who is considered the father of modern physics?,Galileo,Einstein,Newton,Tesla
3,question6: What is the capital of New Zealand?,Auckland,Christchurch,Wellington,Hamilton
2,question7: Which planet has the most moons?,Jupiter,Saturn,Mars,Earth
1,question8: Who wrote 'The Interpretation of Dreams'?,Freud,Jung,Piaget,Erikson
2,question9: What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,ER
1,question10: In which country is the ancient city of Petra located?,Jordan,Egypt,Syria,Turkey
1,question11: What is the chemical formula for table salt?,NaCl,KCl,CaCl2,MgCl2
2,question12: What is the term for a word that is similar in meaning to another word?,Antonym,Synonym,Homonym,Acronym
1,question13: Who was the first woman to win a Nobel Prize?,Curie,Joliot-Curie,Hodgkin,McClintock
2,question14: What describes gravitational interaction?,Quantum,Relativity,Mechanics,Magnetism
1,question15: What is the currency of India?,Rupee,Rupiah,Ringgit,Renminbi
